ROTACION DUANA @@@@@@@
CODIGO@MEDICAMENTO@MOLECULA@PROMEDIO MES@STOCK FARMACIA@PEDIDO 60 DIAS@@STOCK BODEGA
180A0370299@ABACAVIR 300mg TABLETA | FRASCO X 60. LEGRAND@ABACAVIR@0@60@0@@0
127M0200111@MEBICITROF  250mg/5ml SUSPENSION ORAL | FRASCO X 120ML. BIOQUIFAR@METRONIDAZOL@1@0@2@@388
168M0203119@METRONIDAZOL 500mg TABLETA | CAJA X 100. GEN-FAR S.A@METRONIDAZOL@527@359@695@@0
1125M0570002@METRONIST 500mg+100000ui OVULO O TABLETA VAGINAL | CAJA X 10. PROCAPS@METRONIDAZOL+NISTATINA@48@33@64@@110
1145M0583283@MICOFLAVIN RECUBIERTA 500mg TABLETA | CAJA X 50. SCANDINAVIA@MICOFENOLATO@450@270@630@@1710
1116M0583280@MYFORTIC RECUBIERTA 360mg TABLETA | CAJA X 120. NOVARTIS@MICOFENOLATO@945@0@1890@@0
1136M0583283@MYFORTIC RECUBIERTA 180mg TABLETA | CAJA X 120. NOVARTIS@MICOFENOLATO@75@90@60@@0
1136M0583282@CELLCEPT 250mg TABLETA | CAJA X 100. ROCHE@MICOFENOLATO@145@0@290@@0
1136M0583281@CELLCEPT 500mg TABLETA | CAJA X 50. ROCHE@MICOFENOLATO@720@230@1210@@200
1168M0580001@MICOFENOLATO 500mg TABLETA | CAJA X 50. NOVARTIS@MICOFENOLATO@60@10@110@@0
180M0630002@MIRTAZAPINA 30mg TABLETA | CAJA X 30. HUMAX@MIRTAZAPINA@758@697@819@@11170
1158M0680004@RINAID SPRAY 10g SUSPENSION PARA INHALAR | FRASCO X 60 dosis. TECNOQUIMICAS@MOMETASONA@26@0@52@@0
168M0683306@MOMETASONA 0.1% CREMA | TUBO X 15GR. GEN-FAR S.A@MOMETASONA@21@13@29@@0
1156M0683321@MOMETASYN ADULTO SPRAY 200 DOSIS 0.05% SUSPENSION PARA INHALAR | FRASCO X 20GR. LAFRANCOL@MOMETASONA@9@0@19@@0
1156M0683320@MOMETASYN SPRAY NASAL 60 DOSIS PEDIATRICO 0.05% SUSPENSION PARA INHALAR | FRASCO X 10g. LAFRANCOL@MOMETASONA@17@27@8@@0
1G003M0680001@FUROMET 50mcg SUSPENSION PARA INHALAR | FRASCO X 120 dosis. GLENMARK PHARMACEUTICALS@MOMETASONA@125@0@250@@0
168M0683307@MOMETASONA 0.1% LOCION | FRASCO X 30ML. GEN-FAR S.A@MOMETASONA@8@13@3@@0
195M0700003@AIRBRON 10mg TABLETA | CAJA X 30. LABINCO@MONTELUKAST SODICO@1712@993@2432@@0
192M0703340@MONTELUKAS 4mg TABLETA | CAJA X 10. LA SANTE@MONTELUKAST SODICO@135@245@25@@620
192M0703336@MONTELUKAS 5mg TABLETA | CAJA X 10. LA SANTE@MONTELUKAST SODICO@225@172@278@@5560
168M0703331@MONTELUKAS 10mg TABLETA | CAJA X 30. GEN-FAR S.A@MONTELUKAST SODICO@435@750@120@@0
1113P1303952@MORFINA 3% SOLUCION ORAL | FRASCO X 30mL. MINSALUD@MORFINA@5@14@0@@0
136M0713358@MOXAR 5mg TABLETA | CAJA X 30. BUSSIE@MOSAPRIDA@30@60@0@@0
124M0710001@REFLINEX 5mg TABLETA | CAJA X 30. BIOCHEM@MOSAPRIDA@330@885@0@@24540
1101M0740001@MOXIFEN 400mg TABLETA | CAJA X 7. LEGRAND@MOXIFLOXACINO@13@9@18@@1
1158M0720001@OFTAMOX 0.5% SOLUCION OFTALMICAS | FRASCO X 5ML. TECNOQUIMICAS@MOXIFLOXACINO@8@3@13@@283
127M0753378@KATOVIT SD multivitaminas TABLETA | CAJA X 30. BIOQUIFAR@MULTIVITAMINAS + MINERALES@0@60@0@@126
127M0750001@KATOVIT . TABLETA | CAJA X 30. BIOQUIFAR@MULTIVITAMINAS + MINERALES@165@180@150@@390
1161Z9995142@MUPICARE 2% UNGUENTO | TUBO X 15GR. VARIOS E IMPORTADOS@MUPIROCINA@3@0@6@@0
168N0023395@NAPROXENO 500mg TABLETA | CAJA X 10. GEN-FAR S.A@NAPROXENO@825@127@1523@@70
195N0023397@NAPROX 125mg/5ml SUSPENSION ORAL | FRASCO X 80ML. LABINCO@NAPROXENO@0@2@0@@0
168N0023396@NAPROXENO 250mg TABLETA O CAPSULA | CAJA X 900. GEN-FAR S.A@NAPROXENO@3161@2799@3524@@0
1157N0250125@NABILA  2.5mg TABLETA | CAJA X 28. TECNOFARMA@NEBIVOLOL@28@0@56@@0
130N0253476@NEBILET 5mg TABLETA | CAJA X 28. A MENARINI LATIN AMERICA S.L.U@NEBIVOLOL@160@156@164@@7324
14N028A3481@NEVANAC 100mg/ml SOLUCION OFTALMICAS | FRASCO X 5mL. NOVARTIS@NEPAFENACO@3@0@6@@0
1101N0143460@NEVIRAPINA 200mg TABLETA | CAJA X 100. LEGRAND@NEVIRAPINA@420@0@840@@0
120N0063417@ADALAT OROS RETARD 30mg TABLETA | CAJA X 30. BAYER@NIFEDIPINO@60@0@120@@0
198N0063410@NIFEDIPINO 10mg CAPSULA | CAJA X 30. LAFRANCOL@NIFEDIPINO@140@225@55@@22
1115N0060001@NIFEDIPINO RETARD 30mg TABLETA | CAJA X 300. NOVAMED@NIFEDIPINO@1290@1000@1580@@216540
1158N0293495@NIMESULIDE 100mg TABLETA | CAJA X 150. TECNOQUIMICAS@NIMESULIDA@333@392@274@@26400
198N0083422@NIDIP 30mg TABLETA O CAPSULA | CAJA X 100. LAFRANCOL@NIMODIPINA@548@703@394@@6095
154N0083421@NIMODIPINA 30mg TABLETA O CAPSULA | CAJA X 250. EXPOFARMA@NIMODIPINA@9@0@18@@0
195N0093431@NISTATINA 100.000ui SUSPENSION ORAL | FRASCO X 60ml. LABINCO@NISTATINA@19@9@29@@3
160N0313498@NISTATINA + OXIDO DE ZINC  10.000ui+20g UNGUENTO | TUBO X 40g. PROCAPS@NISTATINA+OXIDO DE ZINC@81@57@106@@1
192N0320001@NITAZOXANIDA 500mg TABLETA | CAJA X 6. LA SANTE@NITAZOXANIDA@40@0@81@@0
192N0320002@NITAZOXANIDA 100mg/5ml SUSPENSION ORAL | FRASCO X 60ml. LA SANTE@NITAZOXANIDA@0@5@0@@0
1315N0100001@NITROFURANTOINA 100mg TABLETA O CAPSULA | CAJA X 100. AVANPHARMA@NITROFURANTOINA MACROCRISTALES@1020@265@1776@@40
199N0120003@NORFLOXACINO 400mg TABLETA O CAPSULA | CAJA X 300. LAPROFF@NORFLOXACINA@250@442@58@@60
11N0383520@JEVITY 1500ml SUSPENSION ORAL | CAJA X 6. ABBOT LABORATORIOS DE COLOMBIA@NUTRICION ENTERAL@60@0@120@@0
11A0600392@ENSURE PLUS HN 1.5CAL/ML 1.000ml SUSPENSION ORAL | CAJA X 8. LAFRANCOL (ABBOTT)@NUTRICION ENTERAL@57@0@114@@0
11A0600371@GLUCERNA   1.0kca/ml SUSPENSION ORAL | TARRO X 1500ML. ABBOT LABORATORIOS DE COLOMBIA@NUTRICION ENTERAL@30@15@45@@0
119Z9994904@PEPTAMEN JUNIOR 250ml SUSPENSION ORAL | CAJA X 24. BAXTER@NUTRICION ENTERAL@270@0@540@@80
119A0600399@GLYTROL TETRA PRISMA 1CAL 250ml SUSPENSION ORAL | CAJA X 24. BAXTER@NUTRICION ENTERAL@30@0@60@@0
166O0163593@OLAZAP 5mg TABLETA | CAJA X 30. GARMISCH@OLANZAPINA@170@815@0@@7050
175O0163590@OLAZAP 10mg TABLETA | CAJA X 30. GARMISCH@OLANZAPINA@165@103@227@@0
192O0160138@OLANZAPINA 5mg TABLETA | CAJA X 50. LA SANTE@OLANZAPINA@242@0@485@@1673
192O0160137@OLANZAPINA 10mg TABLETA | CAJA X 60. LA SANTE@OLANZAPINA@0@15@0@@0
1145O0170001@OLMEPREX RECUBIERTA 40mg TABLETA | CAJA X 30. SCANDINAVIA@OLMESARTAN@15@30@0@@0
1121O0183607@OLMETECANLO 40mg+5mg TABLETA | CAJA X 30. PFIZER@OLMESARTAN+AMLODIPINO@90@120@60@@0
1121O0183604@OLMETEC HCT 40mg+12.5mg TABLETA | CAJA X 30. PFIZER@OLMESARTAN+HIDROCLOROTIAZIDA@15@0@30@@0
152O0193607@OLODINA  2% SOLUCION OFTALMICAS | FRASCO X 5ML. ESPECIALIDADES OFT@OLOPATADINA@74@84@64@@0
114O0023526@LOSEC MUPS RETARD 10mg TABLETA | CAJA X 14. ASTRA ZENECA@OMEPRAZOL@49@0@98@@0
114O0023525@LOSEC MUPS RETARD 20mg TABLETA | CAJA X 14. ASTRA ZENECA@OMEPRAZOL@57@56@58@@0
1283O0020002@OMEPRAZOL 20mg CAPSULA | CAJA X 300. FARMACOL CHINOIN@OMEPRAZOL@14429@2426@26432@@400
175O0083566@ONDAX 8mg TABLETA | CAJA X 10. GARMISCH@ONDANSETRON@122@15@230@@40
1125O0220001@ORLISTAT 120mg TABLETA | CAJA X 30. PROCAPS@ORLISTAT@7045@790@13300@@0
130O0233621@SPASMOMEN 40mg TABLETA | CAJA X 30. A MENARINI LATIN AMERICA S.L.U@OTILONIO BROMURO@0@30@0@@0
127O0230001@BROTILON 40mg TABLETA | CAJA X 30. BIOQUIFAR@OTILONIO BROMURO@45@90@0@@1590
174O0243624@IPRAN DRUGTECH 10mg TABLETA | CAJA X 30. LAFRANCOL@OXALATO DE ESCITALOPRAM@1627@915@2340@@0
1158O0273645@OXCARBAZEPINA 300mg TABLETA | CAJA X 20. TECNOQUIMICAS@OXCARBAZEPINA@435@20@850@@18462
1116O0273642@TRILEPTAL 6% SUSPENSION ORAL | FRASCO X 100ML. NOVARTIS@OXCARBAZEPINA@0@12@0@@0
1158O0273646@OXCARBAZEPINA 600mg TABLETA | CAJA X 10. TECNOQUIMICAS@OXCARBAZEPINA@300@460@140@@8370
1990O0100002@OXIBUTININA 5mg TABLETA | CAJA X 50. SALUSPHARMA S.A.S.@OXIBUTININO@1920@2235@1605@@0
1101O0090001@ENDOL SR  LIBERACION PROLONGADA 10mg TABLETA | CAJA X 30. LEGRAND@OXICODONA@330@30@630@@30
1101O0090002@ENDOL SR  LIBERACION PROLONGADA 20mg TABLETA | CAJA X 30. LEGRAND@OXICODONA@180@0@360@@0
1129P0023665@PASTA LASSAR 100g CREMA | POTE X 1. QUIFARMA@OXIDO DE ZINC@210@217@203@@0
1156O0063557@OXIMETAZOLINA ADULTO 0.05% SOLUCION NASAL | FRASCO X 15ml. LAFRANCOL@OXIMETAZOLINA@7@3@11@@0
1P005O0060001@OXIMETAZOLINA HCI PEDIATRICA 0.025% SOLUCION NASAL | FRASCO X 15ml. PHARMACEUTICAL BUSINESS@OXIMETAZOLINA@5@6@5@@0
11P0390001@CREON 25000ui CAPSULA | FRASCO X 50. LAFRANCOL@PANCREATINA@90@0@180@@0
155E0311842@STAMYL . TABLETA | CAJA X 20. FARMA@PANCREATINA+SIMETICONA@2465@655@4275@@0
155P0751843@STAMYL FORTE 300+100mg TABLETA | CAJA X 20. FARMA@PANCREATINA+SIMETICONA@85@829@0@@0
1116P0800001@ACILIBRE-SANDOZ 20mg TABLETA | CAJA X 28. NOVARTIS@PANTOPRAZOL@0@56@0@@0
1704P0800001@PANTOCAL RETARD 40mg TABLETA | CAJA X 28. EUROFARMA COLOMBIA S.A.S@PANTOPRAZOL@28@0@56@@0
1704P0800003@PANTOPRAZOL 40mg TABLETA | CAJA X 28. EUROFARMA COLOMBIA S.A.S@PANTOPRAZOL@28@56@0@@6412
1704P0830001@PRESSIVO 20mg TABLETA | CAJA X 30. EUROFARMA COLOMBIA S.A.S@PAROXETINA@412@650@175@@920
1156P0033667@CUPRIPEN 250mg TABLETA O CAPSULA | CAJA X 30. LAFRANCOL@PENICILAMINA@15@0@30@@0
158P0050001@PENICILINA G BENZATINICA 1200000ui POLVO PARA INYECCION | CAJA X 10. FARMALOGICAS S.A@PENICILINA G BENZATINICA@1@9@0@@742
1163P0053673@PENICILINA G BENZATINICA 1200000ui POLVO PARA INYECCION | CAJA X 10. VITALIS@PENICILINA G BENZATINICA@1@0@3@@297
158P0050002@PENICILINA G BENZATINICA 2400000ui POLVO PARA INYECCION | CAJA X 10. FARMALOGICAS S.A@PENICILINA G BENZATINICA@0@0@1@@297
1163P0053674@PENICILINA G BENZATINICA 2400000ui POLVO PARA INYECCION | CAJA X 10. VITALIS@PENICILINA G BENZATINICA@8@12@5@@560
168P0703811@PENTOXIFILINA RETARD 400mg TABLETA | CAJA X 30. GEN-FAR S.A@PENTOXIFILINA@720@1200@240@@1170
14P0093684@ISOPTO CARPINA 2% SOLUCION OFTALMICAS | FRASCO X 15mL. NOVARTIS@PILOCARPINA CLORHIDRATO O NITRATO@0@1@0@@0
1X001P0090002@SITOGREN 5mg TABLETA | CAJA X 20. XINETIX PHARMA@PILOCARPINA CLORHIDRATO O NITRATO@0@40@0@@320
1101P0090001@CARPIX 5mg TABLETA | CAJA X 30. LEGRAND@PILOCARPINA CLORHIDRATO O NITRATO@495@150@840@@0
1312P0110001@PIPOTIAZINA 25mg/ml SOLUCION INYECTABLE | CAJA X 5. SALUSPHARMA S.A.S.@PIPOTIAZINA PALMITATO@9@0@19@@0
168P0123693@PIRANTEL PAMOATO 250mg TABLETA O CAPSULA | CAJA X 60. GEN-FAR S.A@PIRANTEL (EMBONATO O PAMOATO)@27@123@0@@60
124P012A0001@HELMINTREL 250mg/ml SUSPENSION ORAL | FRASCO X 15ml. BIOCHEM@PIRANTEL PAMOATO+OXANTEL PAMOATO@8@5@11@@645
1312P0140001@PIRIDOSTIGMINA 60mg TABLETA | CAJA X 20. SALUSPHARMA S.A.S.@PIRIDOSTIGMINA BROMURO@180@200@160@@40
1701P0140001@MIGRAXDOL 60MG TABLETA | FRASCO X 20. A.H ROBINS S.A.S@PIRIDOSTIGMINA BROMURO@0@200@0@@9300
150P0150001@PIRIDOXINA 50mg TABLETA | CAJA X 100. ECAR@PIRIDOXINA CLORHIDRATO@486@531@441@@13150
1308P0160001@PIRIMETAMINA 25mg TABLETA | CAJA X 100. VESALIUS PHARMA S.A.S@PIRIMETAMINA@0@70@0@@0
1145P1053883@PIRIMED SHAMPOO 2% EMULSION | FRASCO X 120ML. SCANDINAVIA@PIRITIONATO DE ZINC+ACONDICIONADOR@1@3@0@@0
168P0483783@PIROXICAM 5% GEL | TUBO X 40GR. GEN-FAR S.A@PIROXICAM@41@60@22@@0
127P0203711@DERMIQUE 1% CREMA | TUBO X 30g. BIOQUIFAR@PLATA SULFADIAZINA@16@17@15@@3245
136P0213715@CONDILOM 20% SOLUCION TOPICA | FRASCO X 5ML. BUSSIE@PODOFILINA@4@4@4@@0
1156P1083886@RESINCALCIO 400g POLVO PARA DISOLVER | CAJA X 1. LAFRANCOL@POLIESTIRENSULFONATO CALCICO POL@0@1@0@@0
155P1090002@EVALAX 17gr POLVO PARA DISOLVER | CAJA X 10. FARMA@POLIETILENGLICOL@210@0@420@@0
150P1480002@FARMALAX  3350mg/17g POLVO PARA DISOLVER | CAJA X 15. ECAR@POLIETILENGLICOL@335@239@432@@6027
155P1090001@EVALAX 3350 250gr POLVO PARA DISOLVER | FRASCO X 1. FARMA@POLIETILENGLICOL@24@0@48@@0
11P1100001@LACRISYN  0.4+0.3% SOLUCION OFTALMICAS | FRASCO X 10ml. LAFRANCOL (ABBOTT)@POLIETILENGLICOL+PROPILENGLICOL@24@10@39@@96
169P1113893@SYNVISC  2ml(8mg/ml) SOLUCION INYECTABLE | CAJA X 1. SANOFI-AVENTIS@POLIMERO DE HILANO@0@1@0@@0
1172P1123894@PANOTIL 10.ui+3.75+1+40mg SOLUCION OTICA | FRASCO X 8ml. ZAMBON@POLIMIXINA B+BETAME+NEOMI+LIDO@2@2@2@@0
1166P114A3904@WASSERTROL 600000ui+.1+.35g UNGUENTO OFTALMICO | TUBO X 5g. TECNOQUIMICAS@POLIMIXINA B+NEOMICINA+DEXAMETASONA@4@4@4@@5
1166P1143901@WASSERTROL 0.1%/0.35%6000ui SUSPENSION OFTALMICA | FRASCO X 5ml. TECNOQUIMICAS@POLIMIXINA B+NEOMICINA+DEXAMETASONA@38@28@49@@3348
1166P1183909@TOTAL COMFORT 5mg/ml SOLUCION OFTALMICAS | FRASCO X 15mL. TECNOQUIMICAS@POLIVINILPIRROLIDONA@120@140@100@@1937
155P0710001@UROCIT K RETARD 1080mg TABLETA | CAJA X 100. FARMA@POTASIO CITRATO@90@80@100@@0
132P1203913@MIRAPEX ER RETARD 0.75mg TABLETA | CAJA X 10. BOEHRINGER@PRAMIPEXOL@405@40@770@@0
132P1203914@MIRAPEX ER RETARD 0.375mg TABLETA | CAJA X 10. BOEHRINGER@PRAMIPEXOL@75@60@90@@0
132P1203915@MIRAPEX ER RETARD 3.0mg TABLETA | CAJA X 30. BOEHRINGER@PRAMIPEXOL@240@90@390@@120
132P1203916@MIRAPEX ER RETARD 1.5mg TABLETA | CAJA X 30. BOEHRINGER@PRAMIPEXOL@300@0@600@@90
132P1203919@MIRAPEX ER RETARD 4.5mg TABLETA | CAJA X 30. BOEHRINGER@PRAMIPEXOL@120@150@90@@0
1168P1223921@PRAVASTATINA 20mg TABLETA | CAJA X 10. GEN-FAR S.A@PRAVASTATINA@30@70@0@@0
154P0260003@PRAZOSINA 1mg TABLETA | CAJA X 600. EXPOFARMA@PRAZOSINA@345@275@415@@62033
192P1240001@PREDNISOLONA ACETATO 10mg/1ml SOLUCION OFTALMICAS | FRASCO X 5 ML. LA SANTE@PREDNISOLONA@11@15@7@@5
16P0273727@PRED F 1% SOLUCION OFTALMICAS | FRASCO X 5ml. ALLERGAN@PREDNISOLONA@1@10@0@@0
168P1240002@PREDNISOLONA 5mg TABLETA | CAJA X 300. GEN-FAR S.A@PREDNISOLONA@4164@3559@4769@@132
1158P0273736@CORTIOFTAL 1% SOLUCION OFTALMICAS | FRASCO X 5mL. TECNOQUIMICAS@PREDNISOLONA@6@0@12@@53
1158P0283737@CORTIOFTAL F MK 10+1.2mg SUSPENSION OFTALMICA | FRASCO X 5ml. TECNOQUIMICAS@PREDNISOLONA + FENILEFRINA@5@2@9@@307
1158P0273738@PREDNISONA  50mg TABLETA | CAJA X 100. TECNOQUIMICAS@PREDNISONA@138@0@277@@10
1158P0273742@PREDNISONA 50mg TABLETA | CAJA X 300. TECNOQUIMICAS@PREDNISONA@130@39@222@@3390
1121P1273936@LYRICA 25mg CAPSULA | CAJA X 30. PFIZER@PREGABALINA@15@30@0@@0
1X001P1270001@EPIBALIN 300mg TABLETA | CAJA X 30. XINETIX PHARMA@PREGABALINA@150@370@0@@4830
1116P1270003@PREGABALINA 75MG TABLETA | CAJA X 28. NOVARTIS@PREGABALINA@75@5590@0@@0
1116P1270002@PREGABALINA 150MG TABLETA | CAJA X 28. NOVARTIS@PREGABALINA@30@584@0@@0
150P1270002@PREGABALINA  150mg CAPSULA | CAJA X 300. ECAR@PREGABALINA@255@0@510@@0
1312P1270002@NEUPREL  150mg CAPSULA | CAJA X 60. SALUSPHARMA S.A.S.@PREGABALINA@335@510@160@@0
1312P1270001@NEUPREL 75mg CAPSULA | CAJA X 60. SALUSPHARMA S.A.S.@PREGABALINA@6640@4784@8497@@30
1113P0300001@PRIMIDONA  250mg TABLETA | CAJA X 100. MINSALUD@PRIMIDONA@0@20@0@@0
1E101P1300002@GESTAGENO 200mg CAPSULA | CAJA X 30. EXELTIS@PROGESTERONA@87@36@138@@0
175P0663808@PROPAFEN 150mg TABLETA | CAJA X 30. GARMISCH@PROPAFENONA@255@420@90@@0
14P1103892@SYSTANE BALANCE  6% SOLUCION OFTALMICAS | FRASCO X 10ML. ALCON@PROPILENGLICOL@1@0@3@@19
1112P048A3795@TIROSTAT 50mg TABLETA | CAJA X 100. SIEGFRIED@PROPILTIOURACILO@30@80@0@@0
1115P0350001@PROPRANOLOL 40mg TABLETA | CAJA X 300. NOVAMED@PROPRANOLOL@1202@1400@1005@@47970
1158P0350002@PROPRANOLOL HCI 80mg TABLETA | CAJA X 20. TECNOQUIMICAS@PROPRANOLOL@60@100@20@@2980
127P0583799@SPABOLAZ SOBRES 4g POLVO PARA DISOLVER | CAJA X 50. BIOQUIFAR@PSYLLIUM MUSCILAGO@3385@3048@3722@@68475
1156P1373969@LACORYL T 0.4g POLVO PARA DISOLVER | CAJA X 20 SACHET. LAFRANCOL@PYCNOGENOL@0@60@0@@0
1156P1373966@LACORYL 60mg TABLETA | CAJA X 14. LAFRANCOL@PYCNOGENOL@190@0@380@@0
114Q0013971@SEROQUEL RECUBIERTA 100mg TABLETA | CAJA X 30. ASTRA ZENECA@QUETIAPINA@0@30@0@@570
174Q0013972@QUETIDIN RECUBIERTA 25mg TABLETA | CAJA X 30. LAFRANCOL@QUETIAPINA@148@274@23@@30
1125T0090002@KETIAN XR RETARD 50mg TABLETA | CAJA X 30. PROCAPS@QUETIAPINA@150@135@165@@1800
198Q0010002@DRUGTECH QUETIDIN XR RETARD 200mg TABLETA | CAJA X 30. LAFRANCOL@QUETIAPINA@225@45@405@@0
174Q0013973@QUETIDIN 200mg TABLETA | CAJA X 30. LAFRANCOL@QUETIAPINA@862@195@1530@@0
175T0094322@TIAMAX 25mg TABLETA | CAJA X 30. GARMISCH@QUETIAPINA@2419@3275@1563@@510
175T0094324@TIAMAX 100mg TABLETA | CAJA X 30. GARMISCH@QUETIAPINA@598@515@682@@0
1110R0124020@ISENTRESS RECUBIERTA 400mg TABLETA | FRASCO X 60. MERCK SHARP DOMME@RALTEGRAVIR@1710@60@3360@@0
1163R0014002@RANITIDINA 50mg/2ml SOLUCION INYECTABLE | CAJA X 10. VITALIS@RANITIDINA (CLORHIDRATO)@2@12@0@@24088
192R0010001@RANITIDINA 300mg TABLETA | CAJA X 10. LA SANTE@RANITIDINA (CLORHIDRATO)@75@280@0@@54940
117R0013984@RANITIDINA 150mg TABLETA | CAJA X 300. B.C.N MEDICAL@RANITIDINA (CLORHIDRATO)@2807@1151@4464@@72230
1101R0400001@RAGITAR  1mg TABLETA | FRASCO X 10. LEGRAND@RASAGILINA@70@0@140@@0
1129T0794542@ACIDO RETINOICO 0.05% LOCION | FRASCO X 60ML. QUIFARMA@RETINOICO ACIDO@5@3@8@@0
1129T0794543@ACIDO RETINOICO 0.05% CREMA | POTE X 30GR. QUIFARMA@RETINOICO ACIDO@51@90@12@@0
1125R0054011@RIFAMPICINA 300mg CAPSULA | CAJA X 20. PROCAPS@RIFAMPICINA@40@120@0@@0
1125R0190001@IFAXIM 200mg TABLETA | CAJA X 14. PROCAPS@RIFAXIMINA@236@154@318@@196
1125R0190002@IFAXIM 550mg TABLETA | CAJA X 7. PROCAPS@RIFAXIMINA@98@0@196@@0
1144R0204030@RILUTEK 50mg TABLETA | CAJA X 56. SANOFI-AVENTIS@RILUZOLE@56@0@112@@0
1116R0200001@EXTENSIK 50mg TABLETA | CAJA X 56. NOVARTIS@RILUZOLE@112@224@0@@0
189R0224046@RISPERDAL CONSTA 37.5mg POLVO PARA INYECCION | CAJA X 1. JANSSEN@RISPERIDONA@1@2@0@@0
189R0224047@RISPERDAL CONSTA 25mg POLVO PARA INYECCION | CAJA X 1. JANSSEN@RISPERIDONA@10@0@20@@0
1125R0220002@ISPERIN 3mg TABLETA | CAJA X 28. PROCAPS@RISPERIDONA@487@171@804@@0
12R0220001@SPIRON 1mg/ml SOLUCION ORAL | FRASCO X 30mL. GRUNENTHAL@RISPERIDONA@12@9@16@@0
168L0370002@RISDONA 2mg TABLETA | CAJA X 20. HUMAX@RISPERIDONA@1455@320@2590@@14737
180R0220003@RISDONA 1mg TABLETA | CAJA X 20. HUMAX@RISPERIDONA@345@215@475@@14320
1990R0090001@RITONAVIR  100mg TABLETA | CAJA X 30. SALUSPHARMA S.A.S.@RITONAVIR@1140@630@1650@@30
120R0244058@XARELTO CON RECUBIERTA 15mg TABLETA | CAJA X 14. BAYER@RIVAROXABAN@84@0@168@@0
120R0244060@XARELTO CON RECUBIERTA 15mg TABLETA | CAJA X 28. BAYER@RIVAROXABAN@560@84@1036@@0
120R0244059@XARELTO CON RECUBIERTA 20mg TABLETA | CAJA X 28. BAYER@RIVAROXABAN@2052@42@4062@@0
132R0240001@XARELTO CON RECUBIERTA 20mg TABLETA | CAJA X 14. BAYER@RIVAROXABAN@483@0@966@@0
1116R0254061@EXELON PARCHE 18mgx10cm2 SISTEMA TRANSDERMICO | CAJA X 30. NOVARTIS@RIVASTIGMINA@90@0@180@@0
1116R0254062@EXELON  9mgx5cm2 SISTEMA TRANSDERMICO | CAJA X 30. NOVARTIS@RIVASTIGMINA@45@30@60@@0
1116R0254063@EXELON 27mg/15cm SISTEMA TRANSDERMICO | CAJA X 30. NOVARTIS@RIVASTIGMINA@105@0@210@@210
150R0300003@ROSUVASTATINA 20mg TABLETA | CAJA X 250. ECAR@ROSUVASTATINA@442@481@403@@94410
1101R0300001@ROSUVINA 20mg TABLETA | CAJA X 28. LEGRAND@ROSUVASTATINA@10@0@21@@0
150R0300001@ROSUVASTATINA 40mg TABLETA | CAJA X 250. ECAR@ROSUVASTATINA@390@1005@0@@85740
1M100R0300001@DISMIGRAS 20mg TABLETA | CAJA X 30. MSN LABS AMERICAS @ROSUVASTATINA@30@180@0@@0
1101R0360001@ROSUVINA E 10/20mg TABLETA | CAJA X 28. LEGRAND@ROSUVASTATINA-EZETIMIBA@85@0@170@@0
1101R0360002@ROSUVINA E  10/40mg TABLETA | CAJA X 28. LEGRAND@ROSUVASTATINA-EZETIMIBA@84@168@0@@0
126R0380002@NEUPRO PARCHE 4mg/24h SISTEMA TRANSDERMICO | CAJA X 14. BIOPASS@ROTIGOTINA@29@28@30@@0
1116S0890002@ENTRESTO RECUBIERTA 50mg TABLETA | CAJA X 30. NOVARTIS@SACUBITRIL+VALSARTAN@75@0@150@@0
1116S0890001@ENTRESTO 200mg TABLETA | CAJA X 60. NOVARTIS@SACUBITRIL+VALSARTAN@60@0@120@@0
150S0010001@SALBUTAMOL 2MG/5 ML  40mg SOLUCION ORAL | FRASCO X 120ML. ECAR@SALBUTAMOL (SULFATO)@0@5@0@@13
140S0010001@AIRMAX BUCAL 100mcg SUSPENSION PARA INHALAR | CAJA X 1. CHALVER@SALBUTAMOL (SULFATO)@143@110@176@@0
117S0020001@NEOLYTE SOBRES . POLVO PARA DISOLVER | CAJA X 50. B.C.N MEDICAL@SALES DE REHIDRATACION ORAL@286@120@453@@10916
114S0700001@KOMBIGLYZE 5mg/1000mg TABLETA | CAJA X 28. ASTRA ZENECA@SAXAGLIPTINA+METFORMINA@84@56@112@@0
135S0700002@KOMBIGLYZE XR 2.5mg/1000mg TABLETA | CAJA X 56. ASTRA ZENECA@SAXAGLIPTINA+METFORMINA@84@0@168@@0
127S0304171@SEAMIB 500mg TABLETA | CAJA X 100. BIOQUIFAR@SECNIDAZOL@47@38@57@@0
127S0304170@SEAMIB 500mg SUSPENSION ORAL | FRASCO X 15ML. BIOQUIFAR@SECNIDAZOL@4@51@0@@240
127S0304172@SEAMIB 500MG TABLETA | CAJA X 4. BIOQUIFAR@SECNIDAZOL@64@72@56@@844
11S0314181@SELEGIL 5mg TABLETA | CAJA X 20. LAFRANCOL@SELEGILINA@135@0@270@@0
168S0334187@SERTRALINA 100mg TABLETA | CAJA X 10. GEN-FAR S.A@SERTRALINA@105@475@0@@730
168S0334186@SERTRALINA 50mg TABLETA | CAJA X 10. GEN-FAR S.A@SERTRALINA@4850@4555@5145@@10
198S0240001@SERTREX 800mg TABLETA | CAJA X 90. LAFRANCOL@SEVELAMER CLORHIDRATO@225@270@180@@810
168S0374211@SILDENAFIL 25mg TABLETA | CAJA X 4. GEN-FAR S.A@SILDENAFIL@90@86@94@@0
