ROTACION DUANA @@@@@@@
CODIGO@MEDICAMENTO@MOLECULA@PROMEDIO MES@STOCK FARMACIA@PEDIDO 60 DIAS@@STOCK BODEGA
180A0370299@ABACAVIR 300mg TABLETA | FRASCO X 60. LEGRAND@ABACAVIR@15@60@0@@0
168M0170001@METOPROLOL TARTRATO 50mg TABLETA | CAJA X 300. GEN-FAR S.A@METOPROLOL  TARTRATO@2493@2220@2766@@700
1138M0183109@METOTREXATO  2.5mg TABLETA | CAJA X 100. ROPSOHN@METOTREXATE@1707@1952@1463@@56
137M0193111@MOPSALEM 10mg TABLETA | CAJA X 100. SIEGFRIED@METOXALENO@0@20@0@@0
1125M0203123@METRONIDAZOL 500mg OVULO O TABLETA VAGINAL | CAJA X 200. PROCAPS@METRONIDAZOL@384@594@175@@944
127M0200111@MEBICITROF  250mg/5ml SUSPENSION ORAL | FRASCO X 120ML. BIOQUIFAR@METRONIDAZOL@1@0@2@@188
168M0203120@METRONIDAZOL 250mg SUSPENSION ORAL | FRASCO X 120ml. GEN-FAR S.A@METRONIDAZOL@0@1@1@@0
168M0203119@METRONIDAZOL 500mg TABLETA | CAJA X 100. GEN-FAR S.A@METRONIDAZOL@485@359@611@@0
1125M0570002@METRONIST 500mg+100000ui OVULO O TABLETA VAGINAL | CAJA X 10. PROCAPS@METRONIDAZOL+NISTATINA@24@33@16@@110
1125M0573276@METROZIN NISTATINA 500mg+100000ui OVULO O TABLETA VAGINAL | CAJA X 10. SIEGFRIED@METRONIDAZOL+NISTATINA@4@0@9@@0
1145M0583283@MICOFLAVIN RECUBIERTA 500mg TABLETA | CAJA X 50. SCANDINAVIA@MICOFENOLATO@342@270@415@@1710
1136M0583283@MYFORTIC RECUBIERTA 180mg TABLETA | CAJA X 120. NOVARTIS@MICOFENOLATO@45@90@0@@0
1136M0583281@CELLCEPT 500mg TABLETA | CAJA X 50. ROCHE@MICOFENOLATO@622@20@1225@@200
1136M0583282@CELLCEPT 250mg TABLETA | CAJA X 100. ROCHE@MICOFENOLATO@147@0@295@@0
1116M0583280@MYFORTIC RECUBIERTA 360mg TABLETA | CAJA X 120. NOVARTIS@MICOFENOLATO@885@0@1770@@0
1168M0580001@MICOFENOLATO 500mg TABLETA | CAJA X 50. NOVARTIS@MICOFENOLATO@197@10@385@@0
180M0630002@MIRTAZAPINA 30mg TABLETA | CAJA X 30. HUMAX@MIRTAZAPINA@724@697@752@@10930
1156M0683320@MOMETASYN SPRAY NASAL 60 DOSIS PEDIATRICO 0.05% SUSPENSION PARA INHALAR | FRASCO X 10g. LAFRANCOL@MOMETASONA@19@28@11@@0
1156M0683321@MOMETASYN ADULTO SPRAY 200 DOSIS 0.05% SUSPENSION PARA INHALAR | FRASCO X 20GR. LAFRANCOL@MOMETASONA@78@0@156@@0
168M0683306@MOMETASONA 0.1% CREMA | TUBO X 15GR. GEN-FAR S.A@MOMETASONA@22@13@31@@0
168M0683307@MOMETASONA 0.1% LOCION | FRASCO X 30ML. GEN-FAR S.A@MOMETASONA@9@13@6@@0
195M0700001@AIRBRON 5mg TABLETA | CAJA X 30. LABINCO@MONTELUKAST SODICO@14@0@28@@0
168M0703331@MONTELUKAS 10mg TABLETA | CAJA X 30. GEN-FAR S.A@MONTELUKAST SODICO@187@870@0@@0
195M0700003@AIRBRON 10mg TABLETA | CAJA X 30. LABINCO@MONTELUKAST SODICO@1945@993@2897@@0
192M0703340@MONTELUKAS 4mg TABLETA | CAJA X 10. LA SANTE@MONTELUKAST SODICO@165@245@85@@620
192M0703336@MONTELUKAS 5mg TABLETA | CAJA X 10. LA SANTE@MONTELUKAST SODICO@226@172@281@@5560
1113P1303952@MORFINA 3% SOLUCION ORAL | FRASCO X 30mL. MINSALUD@MORFINA@6@16@0@@0
136M0713358@MOXAR 5mg TABLETA | CAJA X 30. BUSSIE@MOSAPRIDA@15@60@0@@0
124M0710001@REFLINEX 5mg TABLETA | CAJA X 30. BIOCHEM@MOSAPRIDA@307@885@0@@24630
1158M0740001@OFTAMOX 0.5% SOLUCION OFTALMICAS | FRASCO X 5ml. TECNOQUIMICAS@MOXIFLOXACINO@1@0@2@@0
1158M0720001@OFTAMOX 0.5% SOLUCION OFTALMICAS | FRASCO X 5ML. TECNOQUIMICAS@MOXIFLOXACINO@7@3@13@@283
1101M0740001@MOXIFEN 400mg TABLETA | CAJA X 7. LEGRAND@MOXIFLOXACINO@9@9@10@@1
127M0750001@KATOVIT . TABLETA | CAJA X 30. BIOQUIFAR@MULTIVITAMINAS + MINERALES@172@180@165@@390
127M0753378@KATOVIT SD multivitaminas TABLETA | CAJA X 30. BIOQUIFAR@MULTIVITAMINAS + MINERALES@0@60@0@@126
1161Z9995142@MUPICARE 2% UNGUENTO | TUBO X 15GR. VARIOS E IMPORTADOS@MUPIROCINA@1@1@3@@0
168N0023395@NAPROXENO 500mg TABLETA | CAJA X 10. GEN-FAR S.A@NAPROXENO@652@147@1158@@70
168N0023396@NAPROXENO 250mg TABLETA O CAPSULA | CAJA X 900. GEN-FAR S.A@NAPROXENO@2928@2985@2872@@0
195N0023397@NAPROX 125mg/5ml SUSPENSION ORAL | FRASCO X 80ML. LABINCO@NAPROXENO@0@2@0@@0
1157N0250125@NABILA  2.5mg TABLETA | CAJA X 28. TECNOFARMA@NEBIVOLOL@21@28@14@@0
1174N0250001@NEBILOL 5mg TABLETA | CAJA X 30. CLOSTER@NEBIVOLOL@67@0@135@@0
130N0253476@NEBILET 5mg TABLETA | CAJA X 28. A MENARINI LATIN AMERICA S.L.U@NEBIVOLOL@94@216@0@@7324
14N028A3481@NEVANAC 100mg/ml SOLUCION OFTALMICAS | FRASCO X 5mL. NOVARTIS@NEPAFENACO@2@0@4@@0
1101N0143460@NEVIRAPINA 200mg TABLETA | CAJA X 100. LEGRAND@NEVIRAPINA@360@60@660@@0
120N0063417@ADALAT OROS RETARD 30mg TABLETA | CAJA X 30. BAYER@NIFEDIPINO@60@0@120@@0
198N0063410@NIFEDIPINO 10mg CAPSULA | CAJA X 30. LAFRANCOL@NIFEDIPINO@127@225@31@@22
1115N0060001@NIFEDIPINO RETARD 30mg TABLETA | CAJA X 300. NOVAMED@NIFEDIPINO@1190@1000@1380@@217740
154N0063417@NIFEDIPINO RETARD 30mg TABLETA | CAJA X 300. EXPOFARMA@NIFEDIPINO@2@0@5@@180
1158N0293495@NIMESULIDE 100mg TABLETA | CAJA X 150. TECNOQUIMICAS@NIMESULIDA@237@402@72@@28200
192N0293484@NIMESULIDA 100mg TABLETA | CAJA X 10. LA SANTE@NIMESULIDA@115@0@231@@0
198N0083422@NIDIP 30mg TABLETA O CAPSULA | CAJA X 100. LAFRANCOL@NIMODIPINA@299@703@0@@6295
154N0083421@NIMODIPINA 30mg TABLETA O CAPSULA | CAJA X 250. EXPOFARMA@NIMODIPINA@155@0@310@@0
195N0093431@NISTATINA 100.000ui SUSPENSION ORAL | FRASCO X 60ml. LABINCO@NISTATINA@15@11@21@@3
160N0313498@NISTATINA + OXIDO DE ZINC  10.000ui+20g UNGUENTO | TUBO X 40g. PROCAPS@NISTATINA+OXIDO DE ZINC@71@57@86@@1
192N0320001@NITAZOXANIDA 500mg TABLETA | CAJA X 6. LA SANTE@NITAZOXANIDA@33@0@66@@0
192N0320002@NITAZOXANIDA 100mg/5ml SUSPENSION ORAL | FRASCO X 60ml. LA SANTE@NITAZOXANIDA@1@5@0@@0
1315N0100001@NITROFURANTOINA 100mg TABLETA O CAPSULA | CAJA X 100. AVANPHARMA@NITROFURANTOINA MACROCRISTALES@970@285@1656@@40
168N0123450@NORFLOXACINO (DESCONTINUADO) 400mg TABLETA O CAPSULA | CAJA X 14. GEN-FAR S.A@NORFLOXACINA@78@0@156@@10
199N0120003@NORFLOXACINO 400mg TABLETA O CAPSULA | CAJA X 300. LAPROFF@NORFLOXACINA@202@456@0@@60
11A0600371@GLUCERNA   1.0kca/ml SUSPENSION ORAL | TARRO X 1500ML. ABBOT LABORATORIOS DE COLOMBIA@NUTRICION ENTERAL@30@15@45@@0
163N0470002@FRESUBIN HP ENERGY 500ml SUSPENSION ORAL | BOLSA X 1. FRESENIUS@NUTRICION ENTERAL@7@0@15@@0
119A0600399@GLYTROL TETRA PRISMA 1CAL 250ml SUSPENSION ORAL | CAJA X 24. BAXTER@NUTRICION ENTERAL@27@30@24@@0
119A0600403@NUTREN JUNIOR TETRA-PRISMA 250ml SUSPENSION ORAL | CAJA X 24. BAXTER@NUTRICION ENTERAL@25@0@52@@0
119Z9994904@PEPTAMEN JUNIOR 250ml SUSPENSION ORAL | CAJA X 24. BAXTER@NUTRICION ENTERAL@275@81@470@@80
11A0600392@ENSURE PLUS HN 1.5CAL/ML 1.000ml SUSPENSION ORAL | CAJA X 8. LAFRANCOL (ABBOTT)@NUTRICION ENTERAL@51@0@102@@0
11N0383520@JEVITY 1500ml SUSPENSION ORAL | CAJA X 6. ABBOT LABORATORIOS DE COLOMBIA@NUTRICION ENTERAL@52@0@105@@0
192O0160137@OLANZAPINA 10mg TABLETA | CAJA X 60. LA SANTE@OLANZAPINA@41@15@68@@0
166O0163593@OLAZAP 5mg TABLETA | CAJA X 30. GARMISCH@OLANZAPINA@235@815@0@@7050
192O0160138@OLANZAPINA 5mg TABLETA | CAJA X 50. LA SANTE@OLANZAPINA@170@0@340@@1673
175O0163590@OLAZAP 10mg TABLETA | CAJA X 30. GARMISCH@OLANZAPINA@86@133@41@@0
1145O0170001@OLMEPREX RECUBIERTA 40mg TABLETA | CAJA X 30. SCANDINAVIA@OLMESARTAN@7@30@0@@0
1121O0183607@OLMETECANLO 40mg+5mg TABLETA | CAJA X 30. PFIZER@OLMESARTAN+AMLODIPINO@97@120@75@@0
1121O0183604@OLMETEC HCT 40mg+12.5mg TABLETA | CAJA X 30. PFIZER@OLMESARTAN+HIDROCLOROTIAZIDA@22@0@45@@0
152O0193607@OLODINA  2% SOLUCION OFTALMICAS | FRASCO X 5ML. ESPECIALIDADES OFT@OLOPATADINA@65@91@40@@0
1312O0190001@OLOPHARM O 0.2 SOLUCION OFTALMICAS | FRASCO X 5ML. SALUSPHARMA S.A.S.@OLOPATADINA@14@0@29@@0
114O0023526@LOSEC MUPS RETARD 10mg TABLETA | CAJA X 14. ASTRA ZENECA@OMEPRAZOL@52@0@105@@0
114O0023525@LOSEC MUPS RETARD 20mg TABLETA | CAJA X 14. ASTRA ZENECA@OMEPRAZOL@56@56@57@@0
1283O0020002@OMEPRAZOL 20mg CAPSULA | CAJA X 300. FARMACOL CHINOIN@OMEPRAZOL@11959@3196@20722@@400
175O0083566@ONDAX 8mg TABLETA | CAJA X 10. GARMISCH@ONDANSETRON@99@15@183@@40
1125O0220001@ORLISTAT 120mg TABLETA | CAJA X 30. PROCAPS@ORLISTAT@7190@940@13440@@0
127O0230001@BROTILON 40mg TABLETA | CAJA X 30. BIOQUIFAR@OTILONIO BROMURO@22@90@0@@1590
130O0233621@SPASMOMEN 40mg TABLETA | CAJA X 30. A MENARINI LATIN AMERICA S.L.U@OTILONIO BROMURO@0@30@0@@0
174O0243624@IPRAN DRUGTECH 10mg TABLETA | CAJA X 30. LAFRANCOL@OXALATO DE ESCITALOPRAM@1507@975@2040@@0
1116O0273642@TRILEPTAL 6% SUSPENSION ORAL | FRASCO X 100ML. NOVARTIS@OXCARBAZEPINA@2@12@0@@0
1158O0273646@OXCARBAZEPINA 600mg TABLETA | CAJA X 10. TECNOQUIMICAS@OXCARBAZEPINA@255@280@230@@8790
1158O0273645@OXCARBAZEPINA 300mg TABLETA | CAJA X 20. TECNOQUIMICAS@OXCARBAZEPINA@435@20@850@@19442
1990O0100002@OXIBUTININA 5mg TABLETA | CAJA X 50. SALUSPHARMA S.A.S.@OXIBUTININO@1912@2295@1530@@0
1101O0090002@ENDOL SR  LIBERACION PROLONGADA 20mg TABLETA | CAJA X 30. LEGRAND@OXICODONA@187@0@375@@0
1101O0090001@ENDOL SR  LIBERACION PROLONGADA 10mg TABLETA | CAJA X 30. LEGRAND@OXICODONA@302@30@575@@30
1129P0023665@PASTA LASSAR 100g CREMA | POTE X 1. QUIFARMA@OXIDO DE ZINC@200@217@184@@0
198O0060001@OXIMETAZOLINA 0.025% SOLUCION NASAL | FRASCO X 15ml. LAFRANCOL@OXIMETAZOLINA@2@0@5@@0
1156O0063557@OXIMETAZOLINA ADULTO 0.05% SOLUCION NASAL | FRASCO X 15ml. LAFRANCOL@OXIMETAZOLINA@4@3@7@@0
1P005O0060001@OXIMETAZOLINA HCI PEDIATRICA 0.025% SOLUCION NASAL | FRASCO X 15ml. PHARMACEUTICAL BUSINESS@OXIMETAZOLINA@2@6@0@@0
1166O0063560@WASSERFRIN 0.05% SOLUCION NASAL | FRASCO X 15ml. TECNOQUIMICAS@OXIMETAZOLINA@0@0@1@@0
155E0311842@STAMYL . TABLETA | CAJA X 20. FARMA@PANCREATINA+SIMETICONA@2556@835@4277@@0
155P0751843@STAMYL FORTE 300+100mg TABLETA | CAJA X 20. FARMA@PANCREATINA+SIMETICONA@27@889@0@@0
1704P0800003@PANTOPRAZOL 40mg TABLETA | CAJA X 28. EUROFARMA COLOMBIA S.A.S@PANTOPRAZOL@21@56@0@@2268
1116P0800001@ACILIBRE-SANDOZ 20mg TABLETA | CAJA X 28. NOVARTIS@PANTOPRAZOL@0@56@0@@0
1704P0800001@PANTOCAL RETARD 40mg TABLETA | CAJA X 28. EUROFARMA COLOMBIA S.A.S@PANTOPRAZOL@56@0@112@@0
1704P0830001@PRESSIVO 20mg TABLETA | CAJA X 30. EUROFARMA COLOMBIA S.A.S@PAROXETINA@435@680@190@@920
1156P0033667@CUPRIPEN 250mg TABLETA O CAPSULA | CAJA X 30. LAFRANCOL@PENICILAMINA@22@0@45@@0
158P0050001@PENICILINA G BENZATINICA 1200000ui POLVO PARA INYECCION | CAJA X 10. FARMALOGICAS S.A@PENICILINA G BENZATINICA@2@9@0@@742
158P0050002@PENICILINA G BENZATINICA 2400000ui POLVO PARA INYECCION | CAJA X 10. FARMALOGICAS S.A@PENICILINA G BENZATINICA@1@0@4@@0
1163P0053674@PENICILINA G BENZATINICA 2400000ui POLVO PARA INYECCION | CAJA X 10. VITALIS@PENICILINA G BENZATINICA@6@12@1@@572
168P0703811@PENTOXIFILINA RETARD 400mg TABLETA | CAJA X 30. GEN-FAR S.A@PENTOXIFILINA@787@1290@285@@1170
1101P0090001@CARPIX 5mg TABLETA | CAJA X 30. LEGRAND@PILOCARPINA CLORHIDRATO O NITRATO@382@240@525@@0
1X001P0090002@SITOGREN 5mg TABLETA | CAJA X 20. XINETIX PHARMA@PILOCARPINA CLORHIDRATO O NITRATO@150@40@260@@320
14P0093684@ISOPTO CARPINA 2% SOLUCION OFTALMICAS | FRASCO X 15mL. NOVARTIS@PILOCARPINA CLORHIDRATO O NITRATO@0@2@0@@0
1312P0110001@PIPOTIAZINA 25mg/ml SOLUCION INYECTABLE | CAJA X 5. SALUSPHARMA S.A.S.@PIPOTIAZINA PALMITATO@4@3@5@@0
13P0113689@PIPOTIAZINA 25mg/ml SOLUCION INYECTABLE | CAJA X 3. ACTIFARMA@PIPOTIAZINA PALMITATO@2@0@4@@0
168P0123693@PIRANTEL PAMOATO 250mg TABLETA O CAPSULA | CAJA X 60. GEN-FAR S.A@PIRANTEL (EMBONATO O PAMOATO)@43@123@0@@60
124P012A0001@HELMINTREL 250mg/ml SUSPENSION ORAL | FRASCO X 15ml. BIOCHEM@PIRANTEL PAMOATO+OXANTEL PAMOATO@7@5@9@@645
1312P0140001@PIRIDOSTIGMINA 60mg TABLETA | CAJA X 20. SALUSPHARMA S.A.S.@PIRIDOSTIGMINA BROMURO@247@200@295@@40
1701P0140001@MIGRAXDOL 60MG TABLETA | FRASCO X 20. A.H ROBINS S.A.S@PIRIDOSTIGMINA BROMURO@0@200@0@@9300
150P0150001@PIRIDOXINA 50mg TABLETA | CAJA X 100. ECAR@PIRIDOXINA CLORHIDRATO@460@591@330@@5410
1308P0160001@PIRIMETAMINA 25mg TABLETA | CAJA X 100. VESALIUS PHARMA S.A.S@PIRIMETAMINA@32@70@0@@0
1145P1053883@PIRIMED SHAMPOO 2% EMULSION | FRASCO X 120ML. SCANDINAVIA@PIRITIONATO DE ZINC+ACONDICIONADOR@1@3@0@@0
168P0483783@PIROXICAM 5% GEL | TUBO X 40GR. GEN-FAR S.A@PIROXICAM@37@63@12@@0
127P0203711@DERMIQUE 1% CREMA | TUBO X 30g. BIOQUIFAR@PLATA SULFADIAZINA@16@19@14@@1745
136P0213715@CONDILOM 20% SOLUCION TOPICA | FRASCO X 5ML. BUSSIE@PODOFILINA@4@4@5@@0
1156P1083886@RESINCALCIO 400g POLVO PARA DISOLVER | CAJA X 1. LAFRANCOL@POLIESTIRENSULFONATO CALCICO POL@0@1@0@@0
155P1090001@EVALAX 3350 250gr POLVO PARA DISOLVER | FRASCO X 1. FARMA@POLIETILENGLICOL@25@1@50@@0
155P1090002@EVALAX 17gr POLVO PARA DISOLVER | CAJA X 10. FARMA@POLIETILENGLICOL@285@0@572@@0
150P1480002@FARMALAX  3350mg/17g POLVO PARA DISOLVER | CAJA X 15. ECAR@POLIETILENGLICOL@240@280@201@@2517
11P1100001@LACRISYN  0.4+0.3% SOLUCION OFTALMICAS | FRASCO X 10ml. LAFRANCOL (ABBOTT)@POLIETILENGLICOL+PROPILENGLICOL@18@12@25@@96
169P1113893@SYNVISC  2ml(8mg/ml) SOLUCION INYECTABLE | CAJA X 1. SANOFI-AVENTIS@POLIMERO DE HILANO@0@1@0@@0
1172P1123894@PANOTIL 10.ui+3.75+1+40mg SOLUCION OTICA | FRASCO X 8ml. ZAMBON@POLIMIXINA B+BETAME+NEOMI+LIDO@3@2@4@@0
1166P1143901@WASSERTROL 0.1%/0.35%6000ui SUSPENSION OFTALMICA | FRASCO X 5ml. TECNOQUIMICAS@POLIMIXINA B+NEOMICINA+DEXAMETASONA@36@32@42@@3371
1166P114A3904@WASSERTROL 600000ui+.1+.35g UNGUENTO OFTALMICO | TUBO X 5g. TECNOQUIMICAS@POLIMIXINA B+NEOMICINA+DEXAMETASONA@5@4@8@@5
1166P1183909@TOTAL COMFORT 5mg/ml SOLUCION OFTALMICAS | FRASCO X 15mL. TECNOQUIMICAS@POLIVINILPIRROLIDONA@126@147@105@@1937
155P0710001@UROCIT K RETARD 1080mg TABLETA | CAJA X 100. FARMA@POTASIO CITRATO@45@140@0@@0
132P1203913@MIRAPEX ER RETARD 0.75mg TABLETA | CAJA X 10. BOEHRINGER@PRAMIPEXOL@367@40@695@@140
132P1203914@MIRAPEX ER RETARD 0.375mg TABLETA | CAJA X 10. BOEHRINGER@PRAMIPEXOL@67@60@75@@0
132P1203915@MIRAPEX ER RETARD 3.0mg TABLETA | CAJA X 30. BOEHRINGER@PRAMIPEXOL@232@120@345@@270
132P1203919@MIRAPEX ER RETARD 4.5mg TABLETA | CAJA X 30. BOEHRINGER@PRAMIPEXOL@112@150@75@@0
132P1203916@MIRAPEX ER RETARD 1.5mg TABLETA | CAJA X 30. BOEHRINGER@PRAMIPEXOL@262@0@525@@90
1168P1223921@PRAVASTATINA 20mg TABLETA | CAJA X 10. GEN-FAR S.A@PRAVASTATINA@30@70@0@@0
154P0260003@PRAZOSINA 1mg TABLETA | CAJA X 600. EXPOFARMA@PRAZOSINA@285@275@295@@63233
195P0263723@PRATEN 1mg TABLETA | CAJA X 200. LABINCO@PRAZOSINA@60@0@120@@0
16P0273727@PRED F 1% SOLUCION OFTALMICAS | FRASCO X 5mL. ALLERGAN@PREDNISOLONA@1@10@0@@0
168P1240002@PREDNISOLONA 5mg TABLETA | CAJA X 300. GEN-FAR S.A@PREDNISOLONA@3909@3769@4050@@432
192P1240001@PREDNISOLONA ACETATO 10mg/1ml SOLUCION OFTALMICAS | FRASCO X 5 ML. LA SANTE@PREDNISOLONA@12@16@9@@5
1158P0283737@CORTIOFTAL F MK 10+1.2mg SUSPENSION OFTALMICA | FRASCO X 5ml. TECNOQUIMICAS@PREDNISOLONA + FENILEFRINA@4@2@7@@328
1158P0273738@PREDNISONA  50mg TABLETA | CAJA X 100. TECNOQUIMICAS@PREDNISONA@193@25@363@@10
1158P0273742@PREDNISONA 50mg TABLETA | CAJA X 300. TECNOQUIMICAS@PREDNISONA@64@44@84@@3900
1121P1273936@LYRICA 25mg CAPSULA | CAJA X 30. PFIZER@PREGABALINA@22@30@15@@0
1312P1270002@NEUPREL  150mg CAPSULA | CAJA X 60. SALUSPHARMA S.A.S.@PREGABALINA@167@510@0@@0
1116P1270002@PREGABALINA 150MG TABLETA | CAJA X 28. NOVARTIS@PREGABALINA@15@584@0@@0
1116P1270003@PREGABALINA 75MG TABLETA | CAJA X 28. NOVARTIS@PREGABALINA@0@5740@0@@0
1312P1270001@NEUPREL 75mg CAPSULA | CAJA X 60. SALUSPHARMA S.A.S.@PREGABALINA@5968@5174@6764@@30
150P1270002@PREGABALINA  150mg CAPSULA | CAJA X 300. ECAR@PREGABALINA@390@0@780@@0
1X001P1270001@EPIBALIN 300mg TABLETA | CAJA X 30. XINETIX PHARMA@PREGABALINA@192@370@15@@4830
1113P0300001@PRIMIDONA  250mg TABLETA | CAJA X 100. MINSALUD@PRIMIDONA@0@20@0@@0
1E101P1300002@GESTAGENO 200mg CAPSULA | CAJA X 30. EXELTIS@PROGESTERONA@103@36@171@@0
175P0663808@PROPAFEN 150mg TABLETA | CAJA X 30. GARMISCH@PROPAFENONA@315@420@210@@0
14P1103892@SYSTANE BALANCE  6% SOLUCION OFTALMICAS | FRASCO X 10ML. ALCON@PROPILENGLICOL@1@0@3@@19
1112P048A3795@TIROSTAT 50mg TABLETA | CAJA X 100. SIEGFRIED@PROPILTIOURACILO@30@80@0@@0
1158P0350002@PROPRANOLOL HCI 80mg TABLETA | CAJA X 20. TECNOQUIMICAS@PROPRANOLOL@60@100@20@@3380
1115P0350001@PROPRANOLOL 40mg TABLETA | CAJA X 300. NOVAMED@PROPRANOLOL@1132@1460@805@@48870
1158P0350001@PROPRANOLOL HCI 40mg TABLETA | CAJA X 20. TECNOQUIMICAS@PROPRANOLOL@110@0@220@@0
127P0583799@SPABOLAZ SOBRES 4g POLVO PARA DISOLVER | CAJA X 50. BIOQUIFAR@PSYLLIUM MUSCILAGO@3301@3063@3540@@68525
1156P1373969@LACORYL T 0.4g POLVO PARA DISOLVER | CAJA X 20 SACHET. LAFRANCOL@PYCNOGENOL@15@60@0@@0
1156P1373966@LACORYL 60mg TABLETA | CAJA X 14. LAFRANCOL@PYCNOGENOL@189@0@379@@0
114Q0013971@SEROQUEL RECUBIERTA 100mg TABLETA | CAJA X 30. ASTRA ZENECA@QUETIAPINA@7@30@0@@570
1156Q0010001@QUETIDIN XR RETARD 50mg TABLETA | CAJA X 30. SYNTHESIS@QUETIAPINA@11@0@23@@0
174Q0013972@QUETIDIN RECUBIERTA 25mg TABLETA | CAJA X 30. LAFRANCOL@QUETIAPINA@160@274@47@@30
1158T0094327@QUETIAPINA RECUBIERTA 200mg TABLETA | CAJA X 30. TECNOQUIMICAS@QUETIAPINA@386@0@773@@0
174Q0013973@QUETIDIN 200mg TABLETA | CAJA X 30. LAFRANCOL@QUETIAPINA@431@345@518@@0
175T0094324@TIAMAX 100mg TABLETA | CAJA X 30. GARMISCH@QUETIAPINA@628@570@688@@0
1125T0090002@KETIAN XR RETARD 50mg TABLETA | CAJA X 30. PROCAPS@QUETIAPINA@131@165@98@@1800
175T0094322@TIAMAX 25mg TABLETA | CAJA X 30. GARMISCH@QUETIAPINA@2452@3275@1630@@510
198Q0010002@DRUGTECH QUETIDIN XR RETARD 200mg TABLETA | CAJA X 30. LAFRANCOL@QUETIAPINA@251@45@458@@0
1110R0124020@ISENTRESS RECUBIERTA 400mg TABLETA | FRASCO X 60. MERCK SHARP DOMME@RALTEGRAVIR@1620@60@3180@@0
117R0013984@RANITIDINA 150mg TABLETA | CAJA X 300. B.C.N MEDICAL@RANITIDINA (CLORHIDRATO)@2465@1511@3419@@72530
192R0010001@RANITIDINA 300mg TABLETA | CAJA X 10. LA SANTE@RANITIDINA (CLORHIDRATO)@90@280@0@@54940
1163R0014002@RANITIDINA 50mg/2ml SOLUCION INYECTABLE | CAJA X 10. VITALIS@RANITIDINA (CLORHIDRATO)@3@12@0@@24088
1723R0400001@IMPRUVIA 1mg TABLETA | CAJA X 30. AXON PHARMA@RASAGILINA@25@20@30@@0
1101R0400001@RAGITAR  1mg TABLETA | FRASCO X 10. LEGRAND@RASAGILINA@72@0@145@@0
1129T0794543@ACIDO RETINOICO 0.05% CREMA | POTE X 30GR. QUIFARMA@RETINOICO ACIDO@44@90@0@@0
1129T0794542@ACIDO RETINOICO 0.05% LOCION | FRASCO X 60ML. QUIFARMA@RETINOICO ACIDO@4@3@6@@0
1125R0054011@RIFAMPICINA 300mg CAPSULA | CAJA X 20. PROCAPS@RIFAMPICINA@26@120@0@@0
1125R0190001@IFAXIM 200mg TABLETA | CAJA X 14. PROCAPS@RIFAXIMINA@208@154@262@@196
1144R0204030@RILUTEK 50mg TABLETA | CAJA X 56. SANOFI-AVENTIS@RILUZOLE@42@0@84@@0
1116R0200001@EXTENSIK 50mg TABLETA | CAJA X 56. NOVARTIS@RILUZOLE@112@224@0@@0
189R0224047@RISPERDAL CONSTA 25mg POLVO PARA INYECCION | CAJA X 1. JANSSEN@RISPERIDONA@9@1@19@@0
189R0224046@RISPERDAL CONSTA 37.5mg POLVO PARA INYECCION | CAJA X 1. JANSSEN@RISPERIDONA@1@2@1@@0
180R0220003@RISDONA 1mg TABLETA | CAJA X 20. HUMAX@RISPERIDONA@285@245@327@@14320
12R0220001@SPIRON 1mg/ml SOLUCION ORAL | FRASCO X 30mL. GRUNENTHAL@RISPERIDONA@12@9@16@@0
168L0370002@RISDONA 2mg TABLETA | CAJA X 20. HUMAX@RISPERIDONA@1191@530@1854@@14737
1125R0220002@ISPERIN 3mg TABLETA | CAJA X 28. PROCAPS@RISPERIDONA@393@261@527@@0
1990R0090001@RITONAVIR  100mg TABLETA | CAJA X 30. SALUSPHARMA S.A.S.@RITONAVIR@1020@660@1380@@30
120R0244060@XARELTO CON RECUBIERTA 15mg TABLETA | CAJA X 28. BAYER@RIVAROXABAN@273@112@434@@0
120R0244059@XARELTO CON RECUBIERTA 20mg TABLETA | CAJA X 28. BAYER@RIVAROXABAN@1940@98@3783@@0
132R0240001@XARELTO CON RECUBIERTA 20mg TABLETA | CAJA X 14. BAYER@RIVAROXABAN@553@0@1106@@0
120R0244058@XARELTO CON RECUBIERTA 15mg TABLETA | CAJA X 14. BAYER@RIVAROXABAN@444@0@889@@0
1116R0254063@EXELON 27mg/15cm SISTEMA TRANSDERMICO | CAJA X 30. NOVARTIS@RIVASTIGMINA@90@0@180@@210
1116R0254062@EXELON  9mgx5cm2 SISTEMA TRANSDERMICO | CAJA X 30. NOVARTIS@RIVASTIGMINA@60@30@90@@0
1116R0254061@EXELON PARCHE 18mgx10cm2 SISTEMA TRANSDERMICO | CAJA X 30. NOVARTIS@RIVASTIGMINA@97@0@195@@150
150R0300001@ROSUVASTATINA 40mg TABLETA | CAJA X 250. ECAR@ROSUVASTATINA@433@1005@0@@64150
1M100R0300001@DISMIGRAS 20mg TABLETA | CAJA X 30. MSN LABS AMERICAS @ROSUVASTATINA@82@180@0@@0
150R0300003@ROSUVASTATINA 20mg TABLETA | CAJA X 250. ECAR@ROSUVASTATINA@326@481@171@@88660
1101R0300003@ROSUVINA 10mg TABLETA | CAJA X 28. LEGRAND@ROSUVASTATINA@28@0@56@@112
1101R0360001@ROSUVINA E 10/20mg TABLETA | CAJA X 28. LEGRAND@ROSUVASTATINA-EZETIMIBA@63@0@127@@0
